payment_id,ride_id,user_id,amount,payment_method,payment_status,transaction_id,payment_time
1,13960,6945,16.07,credit_card,completed,TXN-00000001,2026-04-07 15:15:52
2,1187,5541,47.01,debit_card,completed,TXN-00000002,2025-10-07 14:56:33
3,3719,8738,74.77,paypal,completed,TXN-00000003,2026-01-14 16:19:32
4,15623,5455,66.79,apple_pay,completed,TXN-00000004,2026-03-20 08:37:33
5,15032,1129,30.85,paypal,completed,TXN-00000005,2026-04-29 18:56:19
6,1785,358,71.3,paypal,completed,TXN-00000006,2025-09-28 22:52:23
7,1371,3314,81.23,apple_pay,completed,TXN-00000007,2026-06-02 00:28:42
8,672,4607,34.85,paypal,completed,TXN-00000008,2025-06-08 16:12:08
9,3651,2752,14.83,credit_card,completed,TXN-00000009,2026-01-12 08:05:27
10,7434,1287,44.39,paypal,completed,TXN-00000010,2025-09-23 20:00:32
11,14485,5056,22.3,debit_card,completed,TXN-00000011,2026-06-03 16:20:12
12,8607,8068,92.22,google_pay,completed,TXN-00000012,2025-11-18 10:21:21
13,3347,2050,36.84,paypal,completed,TXN-00000013,2026-07-30 18:21:18
14,10376,8070,88.84,google_pay,completed,TXN-00000014,2025-07-21 16:54:59
15,15294,9586,106.54,apple_pay,completed,TXN-00000015,2025-08-09 12:38:23
16,3493,9237,72.09,debit_card,failed,TXN-00000016,2026-02-06 11:37:29
17,15261,6509,107.47,credit_card,completed,TXN-00000017,2026-04-04 15:35:10
18,5412,6443,47.68,credit_card,completed,TXN-00000018,2025-01-09 09:04:09
19,19954,8213,50.88,google_pay,completed,TXN-00000019,2025-01-14 16:20:26
20,7158,280,53.18,debit_card,completed,TXN-00000020,2026-03-07 10:06:11
21,1263,4004,71.63,google_pay,completed,TXN-00000021,2025-04-19 09:11:06
22,8086,5822,43.55,credit_card,completed,TXN-00000022,2025-03-09 12:25:06
23,19565,1871,18.61,apple_pay,completed,TXN-00000023,2026-03-17 03:32:37
24,15691,6546,54.78,google_pay,completed,TXN-00000024,2026-06-24 02:47:34
25,5427,8947,51.04,debit_card,completed,TXN-00000025,2025-04-19 13:02:23
26,10967,2697,60.03,paypal,completed,TXN-00000026,2026-05-31 13:07:11
27,16523,6362,78.98,paypal,completed,TXN-00000027,2025-03-17 12:31:42
28,19793,483,86.96,debit_card,completed,TXN-00000028,2026-06-19 21:11:35
29,9378,5790,48.48,debit_card,completed,TXN-00000029,2026-04-02 05:43:30
30,15740,3135,116.53,debit_card,completed,TXN-00000030,2025-09-16 03:02:42
31,13920,2220,59.05,apple_pay,completed,TXN-00000031,2025-10-11 03:22:24
32,4438,8546,112.15,credit_card,completed,TXN-00000032,2025-12-26 02:16:48
33,19705,1716,31.38,apple_pay,completed,TXN-00000033,2025-01-05 14:19:20
34,19322,5309,39.32,apple_pay,completed,TXN-00000034,2025-05-17 01:00:15
35,10539,9574,25.84,credit_card,completed,TXN-00000035,2025-11-25 14:17:24
36,4898,5602,27.62,debit_card,completed,TXN-00000036,2025-03-04 17:33:41
37,7647,5596,47.03,debit_card,completed,TXN-00000037,2025-03-06 12:27:24
38,3301,9706,59.31,google_pay,completed,TXN-00000038,2025-04-30 18:47:55
39,12862,6130,72.96,paypal,completed,TXN-00000039,2026-03-16 17:21:04
40,15988,5389,48.39,apple_pay,completed,TXN-00000040,2026-05-29 03:49:13
41,8213,5224,106.17,debit_card,failed,TXN-00000041,2025-05-21 05:56:13
42,715,681,164.09,credit_card,completed,TXN-00000042,2025-01-08 18:42:50
43,1055,528,49.09,credit_card,failed,TXN-00000043,2026-01-25 17:00:22
44,4742,4876,35.11,google_pay,completed,TXN-00000044,2026-02-16 14:25:47
45,17333,6477,28.57,debit_card,completed,TXN-00000045,2026-01-05 19:05:51
46,11619,6090,44.26,debit_card,completed,TXN-00000046,2025-12-08 17:25:25
47,2344,1253,78.81,paypal,completed,TXN-00000047,2025-07-09 17:44:06
48,7562,2402,54.45,debit_card,completed,TXN-00000048,2025-09-15 16:49:58
49,6898,3326,59.16,paypal,completed,TXN-00000049,2026-03-18 07:29:54
50,4794,2204,70.72,paypal,completed,TXN-00000050,2025-10-10 02:30:22
51,19642,6583,41.2,paypal,completed,TXN-00000051,2026-07-19 20:59:24
52,353,2421,107.78,paypal,completed,TXN-00000052,2026-03-18 02:13:02
53,9722,7903,96.43,paypal,completed,TXN-00000053,2025-08-27 19:17:42
54,18778,9036,61.98,apple_pay,completed,TXN-00000054,2025-01-19 07:19:17
55,579,9245,29.91,google_pay,completed,TXN-00000055,2025-07-16 22:02:34
56,13424,1269,90.9,debit_card,completed,TXN-00000056,2025-05-20 01:03:52
57,8859,9367,68.62,apple_pay,completed,TXN-00000057,2025-12-20 18:16:05
58,3198,9075,70.74,debit_card,completed,TXN-00000058,2026-06-01 19:35:15
59,3732,9499,79.64,apple_pay,completed,TXN-00000059,2025-04-17 23:46:02
60,3670,2839,13.03,apple_pay,completed,TXN-00000060,2025-08-17 18:40:42
61,8282,223,103.27,google_pay,completed,TXN-00000061,2026-02-04 09:29:40
62,1268,8046,44.0,credit_card,completed,TXN-00000062,2026-03-23 19:28:26
63,930,6651,34.73,google_pay,completed,TXN-00000063,2025-03-17 03:22:06
64,6489,205,67.38,google_pay,completed,TXN-00000064,2026-05-03 19:40:57
65,9242,4392,38.03,paypal,completed,TXN-00000065,2025-10-29 12:55:46
66,14855,8653,67.47,paypal,completed,TXN-00000066,2026-06-12 14:06:55
67,10171,1667,58.04,apple_pay,completed,TXN-00000067,2025-03-20 09:28:57
68,1346,9435,63.87,google_pay,completed,TXN-00000068,2025-08-08 16:40:27
69,3479,9904,16.2,credit_card,refunded,TXN-00000069,2025-03-24 07:19:19
70,10740,304,110.02,google_pay,completed,TXN-00000070,2025-04-29 04:25:38
71,8087,4455,23.95,apple_pay,completed,TXN-00000071,2025-08-20 13:48:52
72,16540,6014,78.23,google_pay,completed,TXN-00000072,2026-06-10 01:05:27
73,2725,9292,111.47,paypal,completed,TXN-00000073,2025-04-21 11:26:25
74,15913,3499,95.95,credit_card,completed,TXN-00000074,2025-01-16 05:09:59
75,2111,2302,40.1,apple_pay,completed,TXN-00000075,2025-03-20 12:32:29
76,16075,7040,21.95,google_pay,completed,TXN-00000076,2026-01-23 00:39:15
77,6323,4601,49.39,apple_pay,completed,TXN-00000077,2025-08-09 19:51:42
78,3796,457,69.49,apple_pay,completed,TXN-00000078,2026-07-25 13:30:25
79,11486,737,63.67,debit_card,completed,TXN-00000079,2025-10-19 12:31:56
80,2712,8343,71.91,apple_pay,completed,TXN-00000080,2026-04-04 11:22:31
81,13862,8287,49.57,paypal,completed,TXN-00000081,2025-09-01 09:35:49
82,5994,7408,77.46,paypal,completed,TXN-00000082,2025-06-23 17:06:54
83,4799,6280,59.52,google_pay,completed,TXN-00000083,2025-12-28 16:21:00
84,4054,4071,69.9,paypal,completed,TXN-00000084,2026-04-05 21:30:55
85,19462,9230,73.45,apple_pay,failed,TXN-00000085,2025-08-07 18:05:30
86,16892,218,22.3,credit_card,completed,TXN-00000086,2025-11-10 04:40:32
