rating_id,ride_id,rider_id,driver_id,rating,comment,rated_at
1,13870,5833,7667,5,Could have been better,2025-09-09 13:41:28
2,2279,1026,3147,4,Could have been better,2026-06-02 23:39:31
3,19701,960,2267,5,Great ride,2026-07-23 06:31:59
4,860,2999,4679,3,Average experience,2026-04-23 04:57:28
5,7868,4277,8698,5,Average experience,2025-10-09 06:15:35
6,18212,6676,7607,5,Smooth ride,2025-10-25 20:00:09
7,2136,8181,6584,4,Very friendly driver,2025-11-06 03:59:41
8,9734,6151,5039,5,Could have been better,2025-03-21 23:20:31
9,14717,584,8580,5,Clean vehicle,2026-01-14 21:42:20
10,16873,7862,2570,5,Driver was professional,2026-06-16 14:19:16
11,2817,4728,8819,4,Smooth ride,2025-03-15 09:20:36
12,2408,9034,8866,5,Smooth ride,2025-05-05 01:57:23
13,19481,7983,2005,4,Clean vehicle,2026-06-19 22:48:22
14,15735,6120,1399,5,Smooth ride,2026-04-10 16:05:36
15,6074,2102,8105,5,Could have been better,2025-01-18 23:00:57
16,12765,3349,6499,5,Driver was professional,2025-05-02 18:54:31
17,11560,7199,9087,4,On time,2026-02-28 06:54:40
18,7603,5976,9349,5,Great ride,2025-11-18 11:07:39
19,6570,6015,1389,5,On time,2026-06-15 22:16:20
20,5953,5802,4579,4,Very friendly driver,2026-06-09 03:57:56
21,2412,5695,3303,4,Could have been better,2025-04-28 21:05:10
22,4380,6236,5767,5,Great ride,2025-07-29 13:30:16
23,12109,1311,4688,5,Clean vehicle,2025-11-08 17:58:36
24,14247,4140,3660,5,Very friendly driver,2025-04-12 18:29:31
25,10409,8701,1078,5,Good experience,2026-01-28 14:58:30
26,4051,7690,4952,5,On time,2026-02-09 19:15:54
27,2078,3740,1981,4,Driver was professional,2025-10-08 13:09:59
28,11174,6796,589,5,Driver was professional,2026-05-15 18:48:40
29,492,1083,306,5,Could have been better,2026-02-20 04:17:13
30,7463,4240,9459,4,Good experience,2026-01-24 09:57:02
31,16745,6489,1413,5,Clean vehicle,2025-04-06 16:07:49
32,8823,1643,1869,2,Could have been better,2026-01-21 18:50:28
33,18013,9907,489,4,,2025-11-01 01:54:19
34,19369,5176,2020,5,Good experience,2025-10-07 12:34:20
35,3733,7045,3078,3,Good experience,2025-04-23 11:49:57
36,19717,2124,4316,5,Average experience,2026-03-26 14:27:35
37,15674,6822,9656,4,Clean vehicle,2025-05-02 02:10:41
38,17780,1967,8563,5,Great ride,2025-09-22 02:59:24
39,10904,4414,118,5,Average experience,2025-05-30 15:42:21
40,11874,2285,894,1,On time,2025-03-02 21:59:59
41,8456,1722,3500,5,Good experience,2025-10-04 21:54:45
42,15870,1500,4265,4,Smooth ride,2025-04-09 00:16:47
