ride_id,rider_id,driver_id,requested_at,pickup_time,dropoff_time,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,distance_km,fare,surge_multiplier,status,cancellation_reason
1,6166,7514,2026-02-27 20:13:30,,,44.229291,-63.543162,44.496423,-67.980735,0,0,1.0,cancelled,driver_cancelled
2,5074,4936,2025-12-26 08:26:37,2025-12-26 08:34:37,2025-12-26 08:59:37,43.88127,-70.083206,43.410488,-70.560855,13.16,52.17,1.5,completed,
3,2969,5849,2025-07-03 07:58:26,2025-07-03 08:02:26,2025-07-03 09:02:26,43.856247,-75.945737,44.133943,-70.313959,26.59,70.53,1.0,completed,
4,7932,1030,2025-03-01 04:50:04,2025-03-01 05:03:04,2025-03-01 05:40:04,44.360329,-64.339011,44.395041,-77.436515,11.35,42.98,1.2,completed,
5,2468,8856,2026-07-09 07:45:41,2026-07-09 07:51:41,2026-07-09 08:36:41,43.696089,-66.938775,44.66913,-74.876163,23.35,59.61,1.0,completed,
6,3501,7270,2025-10-03 19:35:25,2025-10-03 19:43:25,2025-10-03 20:37:25,43.775973,-63.978564,43.20094,-75.521642,25.15,131.82,2.0,completed,
7,1347,8702,2025-10-13 19:39:00,2025-10-13 19:50:00,2025-10-13 20:42:00,43.331268,-68.098221,44.199122,-76.223495,23.87,62.97,1.0,completed,
8,9244,7974,2025-03-08 06:26:57,2025-03-08 06:36:57,2025-03-08 06:49:57,44.657814,-77.921212,44.915273,-76.351544,18.19,39.38,1.0,completed,
9,6987,4870,2025-09-08 13:08:56,2025-09-08 13:21:56,2025-09-08 14:06:56,44.810983,-67.114054,45.089911,-72.603704,36.9,83.33,1.0,completed,
10,9817,179,2025-11-17 23:40:34,2025-11-17 23:49:34,2025-11-18 00:34:34,43.150684,-69.690602,44.690968,-70.645316,34.57,79.25,1.0,completed,
11,2799,8423,2026-04-21 06:04:29,2026-04-21 06:10:29,2026-04-21 06:40:29,43.12717,-71.994302,45.421385,-64.351628,22.81,53.42,1.0,completed,
12,6555,1671,2026-04-11 13:08:49,2026-04-11 13:20:49,2026-04-11 14:15:49,44.372513,-77.221319,45.337121,-70.599754,25.98,67.72,1.0,completed,
